iter	Logloss	Accuracy
157	0.240785037	0.8909049482
158	0.2407233433	0.8909049482
159	0.2406635529	0.8908821631
160	0.2406244472	0.8909733035
161	0.2405884504	0.8910340637
162	0.2405610115	0.8910416588
163	0.240537554	0.8911327991
164	0.2405028655	0.8911783693
165	0.2404648147	0.8912391296
166	0.2404061527	0.8912163445
167	0.2403690399	0.8912846998
168	0.2403419208	0.8912771048
169	0.2403128821	0.8912771048
170	0.2402486904	0.8914138154
171	0.2402135864	0.8913530551
172	0.2401815163	0.8914214104
173	0.2401515433	0.8913834352
174	0.2400804917	0.8913986253
175	0.2400434444	0.8914593856
176	0.2400059859	0.8914441955
177	0.2399477827	0.8915353359
178	0.2398933357	0.8916188813
179	0.2398696919	0.8916340713
180	0.2398331473	0.8916188813
181	0.2397920808	0.8916036912
182	0.2397484382	0.8915960962
183	0.2397273785	0.8915960962
184	0.2396607961	0.8915885011
185	0.2396246344	0.8916416664
186	0.2395984956	0.8916644514
187	0.2395774256	0.8917176167
188	0.2395551891	0.8917479968
189	0.2395091035	0.8917404018
190	0.2394793783	0.8917631869
191	0.2394346963	0.8918619223
192	0.2393715697	0.8919682528
193	0.2393289039	0.8919910379
194	0.2393110159	0.8919910379
195	0.2392762366	0.8919682528
196	0.2392509545	0.8920062279
197	0.2392133924	0.8919986329
198	0.2391919831	0.8919834428
199	0.2391707874	0.8919454677
200	0.2391382446	0.892029013
201	0.239097022	0.8921049634
202	0.2390634731	0.8920897733
203	0.2390074238	0.8920517981
204	0.2389638747	0.8920897733
205	0.2389236134	0.8920593932
206	0.2388834782	0.8921353435
207	0.2388422967	0.8921733186
208	0.2387860434	0.8921581286
209	0.2387485939	0.8921961037
210	0.2386971587	0.8921657236
211	0.2386258687	0.892249269
212	0.2385664588	0.8923480044
213	0.2385340696	0.8924011696
214	0.238494601	0.892484715
215	0.238428286	0.89249231
216	0.2383806083	0.8924695249
217	0.238337181	0.89249231
218	0.2383143469	0.8924467398
219	0.2382792041	0.8924163597
220	0.2382471628	0.8924315498
221	0.2382020093	0.8924315498
222	0.238162936	0.89247712
223	0.2381171503	0.8924695249
224	0.2380931901	0.8925075001
225	0.2380511059	0.8925758554
226	0.2380154697	0.8926290206
227	0.2379750115	0.8926669958
228	0.2379260487	0.8928113014
229	0.2378937952	0.8927809213
230	0.237833801	0.8927885163
231	0.2378025336	0.8927961113
232	0.2377802124	0.8927809213
233	0.2377366234	0.8928492766
234	0.2377088973	0.8929024418
235	0.2376367752	0.8929859872
236	0.237609201	0.8929935822
237	0.2375612872	0.8929859872
238	0.2375335609	0.8930087723
239	0.2375001919	0.8930543425
240	0.2374594315	0.8930999127
241	0.2374282074	0.8931302928
242	0.2373950014	0.8931530779
243	0.237369668	0.8930847226
244	0.2373206411	0.8931530779
