iter	Logloss	Accuracy
309	0.2248384334	0.9003609915
310	0.2247591354	0.9005218293
311	0.2247299247	0.9005128938
312	0.2246874102	0.9003967332
313	0.2246517588	0.9003788623
314	0.2245968258	0.9004414104
315	0.2245404279	0.9004771521
316	0.2244489605	0.9005039584
317	0.2244078205	0.9005754419
318	0.224358914	0.9005128938
319	0.2243189434	0.9005307647
320	0.2242721429	0.9006916025
321	0.2242493193	0.9006290545
322	0.224192496	0.9006469253
323	0.2241413615	0.9006647962
324	0.224088379	0.9007362796
325	0.2240542618	0.9007988277
326	0.2240002901	0.9008345694
327	0.2239622782	0.9008345694
328	0.2239006386	0.9008345694
329	0.2238531468	0.9008345694
330	0.2238154341	0.9007720214
331	0.2237860244	0.9007988277
332	0.2237572135	0.9007898922
333	0.223700134	0.9009328592
334	0.2236592077	0.9009864718
335	0.2236039547	0.9011205032
336	0.223556848	0.9011205032
337	0.2235224604	0.9011115678
338	0.2234820945	0.9011205032
339	0.2234378803	0.9011205032
340	0.2234132294	0.9011473095
341	0.2233733376	0.901156245
342	0.223295	0.9012009221
343	0.2232642641	0.901218793
344	0.2232241997	0.9012009221
345	0.2231529234	0.9012366639
346	0.2230893677	0.9012902765
347	0.2230306416	0.9013081473
348	0.2229924599	0.9013349536
349	0.2229448287	0.9013975017
350	0.2228937674	0.9014600497
351	0.2228417118	0.9014511142
352	0.222799	0.9013885662
353	0.2227595448	0.9015047268
354	0.2227078989	0.9015225977
355	0.222679829	0.9016030166
356	0.2226023435	0.9016208875
357	0.2225412808	0.9015940812
358	0.2224740039	0.9016208875
359	0.2224234263	0.9016655646
360	0.2223774985	0.9016030166
361	0.2223453225	0.9016030166
362	0.2223007385	0.9016387583
363	0.2222685296	0.9016387583
364	0.2222283579	0.9016298229
365	0.2221922495	0.9016834355
366	0.2221192986	0.9017370481
367	0.2220724083	0.901754919
368	0.2219972667	0.9017013064
369	0.2219442874	0.9017191772
370	0.2219141486	0.901817467
371	0.2218669153	0.9017727898
372	0.2218164876	0.9018085316
373	0.221783022	0.9017995961
374	0.2217337633	0.9018353378
375	0.2216903659	0.9018978859
376	0.2216460591	0.9018889504
377	0.2216045688	0.9018264024
378	0.2215640946	0.9018353378
379	0.2215189056	0.9018978859
380	0.2214703959	0.9020051111
381	0.2214368201	0.9020140465
382	0.2213982289	0.9020229819
383	0.2213702197	0.9020408528
384	0.2213260262	0.9020229819
385	0.2212841705	0.9020229819
386	0.2212275699	0.9021212717
387	0.221177468	0.9021838197
388	0.2211281525	0.9022016906
389	0.2210918097	0.9021748843
390	0.2210563322	0.9022463677
391	0.2209846295	0.9022374323
392	0.2209378784	0.9021659489
393	0.2208696741	0.9022821095
394	0.2208147114	0.902273174
395	0.2207614266	0.9023178512
396	0.2207151156	0.9023267866
397	0.2206881239	0.9023625284
398	0.2206403891	0.9023446575
399	0.2205957285	0.9023267866
400	0.2205391776	0.9025233662
401	0.2205046148	0.9024518827
402	0.2204698935	0.902478689
403	0.2204415425	0.902603785
404	0.2204098958	0.9026395268
405	0.2203806755	0.9026305913
406	0.220354255	0.9026305913
407	0.220314372	0.9027020748
408	0.2202855918	0.9027378165
409	0.2202543766	0.9027199457
410	0.2201984478	0.902746752
411	0.2201699464	0.9028003646
412	0.2201020186	0.9028629126
413	0.2200686806	0.9028450417
414	0.2200217165	0.9028450417
415	0.2199658531	0.9029165252
416	0.2199434803	0.9029612024
417	0.2199065438	0.9029790732
418	0.2198495545	0.9030594921
419	0.2198065905	0.9031488464
420	0.2197713435	0.9031041693
421	0.2197122929	0.9030862984
422	0.2196578887	0.9030862984
423	0.2196076561	0.9032382008
424	0.2195618913	0.9032203299
425	0.2195253556	0.903202459
426	0.2194868972	0.9031667173
427	0.2194350846	0.9032560716
428	0.219412505	0.9033186197
429	0.2193642654	0.9032828779
430	0.2193157552	0.9033275551
431	0.2192723285	0.9033722322
432	0.219235775	0.9033901031
433	0.2191854775	0.9033901031
434	0.2191337954	0.9033722322
435	0.2190997906	0.9034973283
436	0.219036632	0.9034973283
437	0.218982595	0.9034615866
438	0.2189267069	0.9034794574
439	0.2188866707	0.9034883929
440	0.2188265204	0.9035420055
441	0.2187990874	0.9036402952
442	0.2187716523	0.9036581661
443	0.2187538438	0.9036671015
444	0.2187204042	0.9036849724
445	0.2186794112	0.9038368747
446	0.2186264923	0.9037921976
447	0.2185797412	0.9037653913
448	0.218528093	0.9038100684
449	0.2184605733	0.9039172936
450	0.2184176205	0.9039798417
451	0.2183735059	0.9039709062
452	0.2183343253	0.9040155834
453	0.2182647104	0.904069196
454	0.2182207543	0.9041138732
