iter	Passed	Remaining
405	5666	8290
406	5678	8273
407	5690	8256
408	5702	8240
409	5715	8225
410	5727	8207
411	5739	8191
412	5752	8176
413	5764	8159
414	5776	8143
415	5788	8125
416	5800	8109
417	5812	8093
418	5824	8075
419	5836	8059
420	5847	8042
421	5860	8026
422	5871	8009
423	5883	7993
424	5895	7976
425	5908	7960
426	5921	7945
427	5955	7959
428	5967	7942
429	5978	7925
430	5991	7909
431	6003	7892
432	6014	7875
433	6026	7859
434	6038	7842
435	6050	7826
436	6062	7810
437	6074	7794
438	6086	7778
439	6098	7761
440	6110	7746
441	6122	7728
442	6133	7712
443	6144	7694
444	6156	7678
445	6167	7661
446	6180	7646
447	6193	7631
448	6205	7615
449	6216	7598
450	6228	7582
451	6240	7565
452	6252	7549
453	6263	7532
454	6274	7515
455	6286	7499
456	6298	7483
457	6310	7467
458	6321	7451
459	6333	7434
460	6347	7421
461	6368	7416
462	6390	7411
463	6410	7405
464	6423	7391
465	6435	7374
466	6448	7359
467	6459	7342
468	6471	7327
469	6485	7313
470	6497	7297
471	6509	7281
472	6521	7265
473	6532	7249
474	6544	7233
475	6556	7217
476	6568	7201
477	6580	7186
478	6592	7170
479	6604	7154
480	6616	7139
481	6629	7125
482	6643	7110
483	6657	7097
484	6670	7083
485	6683	7068
486	6697	7054
487	6710	7040
488	6723	7025
489	6736	7011
490	6749	6996
491	6761	6981
492	6773	6966
493	6788	6952
494	6799	6937
495	6811	6921
496	6822	6905
497	6834	6889
498	6846	6873
499	6858	6858
500	6869	6842
501	6881	6826
502	6893	6810
503	6904	6795
504	6916	6779
505	6960	6795
506	6974	6782
507	6986	6766
508	6999	6751
509	7012	6737
510	7024	6722
511	7040	6710
512	7056	6698
513	7071	6686
514	7086	6673
515	7101	6661
516	7115	6647
517	7131	6636
518	7148	6625
519	7165	6614
520	7182	6603
521	7196	6590
522	7214	6580
523	7228	6566
524	7244	6554
525	7257	6539
526	7270	6525
527	7283	6510
528	7296	6496
529	7311	6484
530	7327	6471
531	7343	6460
532	7367	6455
533	7392	6450
534	7412	6442
535	7431	6432
536	7447	6420
537	7462	6407
538	7476	6394
539	7491	6381
540	7504	6366
541	7517	6352
542	7529	6336
543	7542	6322
544	7554	6307
545	7567	6292
546	7579	6276
547	7591	6261
548	7603	6245
549	7615	6230
550	7629	6217
551	7646	6205
552	7661	6193
553	7680	6183
554	7696	6171
555	7712	6158
556	7728	6147
557	7745	6135
558	7760	6122
559	7776	6109
560	7789	6095
561	7800	6079
562	7813	6065
563	7825	6049
564	7838	6034
565	7850	6019
566	7866	6007
567	7879	5993
568	7893	5979
569	7910	5967
570	7927	5956
571	7972	5965
572	7984	5949
573	7996	5934
574	8008	5919
575	8019	5903
576	8030	5887
577	8043	5872
578	8056	5857
579	8067	5842
580	8079	5826
581	8090	5810
582	8104	5796
583	8116	5781
584	8129	5766
585	8145	5754
586	8160	5741
587	8173	5727
588	8186	5712
589	8198	5697
590	8213	5684
591	8226	5669
592	8240	5655
593	8254	5642
594	8268	5628
595	8282	5614
596	8296	5600
597	8309	5586
598	8323	5571
599	8338	5558
600	8351	5544
601	8377	5538
602	8404	5533
603	8427	5525
604	8447	5515
605	8463	5502
606	8478	5489
607	8495	5477
608	8510	5463
