iter	Passed	Remaining
402	8946	13253
403	8959	13217
404	8978	13190
405	8992	13155
406	9012	13130
407	9031	13104
408	9074	13112
409	9094	13087
410	9114	13062
411	9133	13035
412	9153	13010
413	9173	12984
414	9192	12957
415	9211	12931
416	9231	12905
417	9251	12880
418	9270	12854
419	9289	12828
420	9309	12803
421	9332	12782
422	9353	12758
423	9384	12748
424	9409	12730
425	9447	12729
426	9478	12719
427	9532	12739
428	9625	12811
429	9665	12812
430	9689	12791
431	9711	12768
432	9735	12747
433	9768	12740
434	9791	12717
435	9807	12686
436	9826	12659
437	9852	12642
438	9877	12622
439	9900	12600
440	9924	12579
441	9945	12555
442	9965	12530
443	9981	12499
444	10001	12473
445	10021	12448
446	10035	12415
447	10055	12389
448	10099	12394
449	10122	12372
450	10142	12346
451	10161	12320
452	10182	12295
453	10197	12264
454	10217	12238
455	10233	12207
456	10248	12176
457	10269	12152
458	10289	12127
459	10307	12100
460	10329	12077
461	10353	12057
462	10386	12046
463	10416	12032
464	10446	12019
465	10475	12003
466	10501	11986
467	10551	11994
468	10590	11990
469	10619	11975
470	10644	11955
471	10674	11940
472	10702	11924
473	10727	11904
474	10756	11888
475	10784	11872
476	10807	11849
477	10834	11831
478	10860	11813
479	10894	11802
480	10923	11786
481	10949	11767
482	10976	11749
483	11005	11732
484	11030	11712
485	11056	11693
486	11081	11673
487	11136	11683
488	11157	11659
489	11178	11634
490	11198	11608
491	11218	11583
492	11239	11558
493	11259	11532
494	11279	11507
495	11293	11475
496	11312	11449
497	11332	11423
498	11353	11398
499	11369	11369
500	11389	11344
501	11406	11315
502	11426	11290
503	11446	11264
504	11465	11238
505	11484	11211
506	11503	11186
507	11521	11159
508	11565	11156
509	11602	11147
510	11625	11125
511	11648	11102
512	11669	11078
513	11693	11056
514	11716	11034
515	11735	11007
516	11757	10984
517	11780	10962
518	11802	10938
519	11819	10910
520	11842	10888
521	11871	10871
522	11893	10847
523	11914	10823
524	11937	10800
525	11957	10775
526	11978	10751
527	11993	10721
528	12013	10696
529	12033	10671
530	12048	10641
531	12063	10612
532	12083	10587
533	12104	10562
534	12158	10567
535	12178	10542
536	12198	10517
537	12217	10491
538	12237	10466
539	12257	10441
540	12274	10414
541	12295	10389
542	12314	10364
543	12334	10339
544	12353	10313
545	12367	10283
546	12386	10258
547	12406	10232
548	12425	10207
549	12444	10181
550	12464	10157
551	12483	10131
552	12498	10103
553	12518	10078
554	12538	10053
555	12560	10030
556	12612	10031
557	12637	10010
558	12657	9985
559	12676	9960
560	12696	9935
561	12715	9910
562	12735	9884
563	12754	9860
564	12769	9831
565	12789	9806
566	12809	9781
567	12829	9757
568	12849	9733
569	12864	9705
570	12885	9680
571	12906	9657
572	12926	9633
573	12946	9608
574	12967	9584
575	12986	9559
576	13006	9535
577	13026	9510
578	13046	9486
579	13066	9461
580	13086	9437
581	13106	9413
582	13125	9388
583	13175	9385
584	13197	9362
585	13217	9337
586	13236	9313
587	13256	9288
588	13275	9263
589	13295	9239
590	13312	9212
591	13332	9188
592	13348	9161
593	13368	9137
594	13387	9112
595	13407	9088
596	13426	9063
597	13445	9038
598	13460	9011
599	13480	8987
600	13500	8962
601	13520	8938
602	13540	8914
603	13556	8887
604	13572	8861
605	13606	8846
606	13651	8838
607	13674	8816
608	13694	8792
609	13713	8767
610	13733	8743
611	13753	8719
612	13773	8695
613	13788	8668
614	13804	8641
615	13825	8618
616	13847	8595
617	13867	8571
618	13886	8547
619	13906	8523
620	13926	8499
621	13945	8475
622	13960	8448
623	13981	8424
624	14001	8401
625	14020	8376
626	14040	8352
627	14060	8329
628	14081	8305
629	14101	8281
630	14121	8258
631	14141	8234
632	14169	8215
633	14218	8207
634	14237	8183
635	14254	8157
636	14274	8134
637	14289	8107
638	14310	8084
639	14325	8058
640	14346	8034
641	14361	8008
642	14381	7984
643	14400	7960
644	14419	7936
645	14435	7910
646	14454	7886
647	14473	7862
648	14493	7838
649	14513	7814
650	14532	7790
651	14551	7766
652	14573	7744
653	14593	7720
654	14612	7696
655	14657	7686
656	14685	7666
